subject_id,session_idx,decision,fused_score,fidelity_thr,fidelity_pass,mean_recon_error,anomaly_zone,llr,fidelity_ip,fidelity_bc,elapsed_ms,is_genuine,attempt_type
s002,5,ACCESS_GRANTED,0.9895364835365,0.06049,True,0.015200844034552574,normal,0.7511308455393199,0.21185091766431635,0.7323845558229506,2066.4801597595215,True,genuine
s002,6,ACCESS_GRANTED,0.9923790748726196,0.06049,True,0.012760275043547153,normal,0.7235757146777866,0.25265010750250855,0.7187880058052725,1255.913257598877,True,genuine
s002,7,ACCESS_GRANTED,0.9979413680609374,0.06049,True,0.015770578756928444,normal,0.7057672102298516,0.3306205562955907,0.743361518923234,2015.5632495880127,True,genuine
s002,8,REJECT_SESSION,0.06048677334561039,0.06049,False,0.02458503097295761,normal,0.2949096672262107,0.17549817208922214,0.7616175974856749,2184.8273277282715,True,genuine
s003,5,ACCESS_GRANTED,0.9994333222200964,0.86069,True,0.020814411342144012,normal,0.8122930305451307,0.39937574560923017,0.7962592879803144,2243.762493133545,True,genuine
s003,6,ACCESS_GRANTED,0.9987323464233133,0.86069,True,0.020466703921556473,normal,0.8263118140753817,0.3438937572082483,0.7342121868841731,1762.4540328979492,True,genuine
s003,7,ACCESS_GRANTED,0.988782976538209,0.86069,True,0.028301307931542397,normal,0.6423007953050829,0.3641499527106084,0.8200823632310367,3518.4781551361084,True,genuine
s003,8,ACCESS_GRANTED,0.8606915713285286,0.86069,True,0.02820746786892414,normal,0.5771657686315939,0.2678783381216384,0.7386994779101269,1978.1947135925293,True,genuine
s004,5,ACCESS_GRANTED,0.9999940037537454,0.9915,True,0.018261972814798355,normal,0.7327384804628398,0.5002302965355631,0.7724270674319513,1434.133529663086,True,genuine
s004,6,ACCESS_GRANTED,0.9999880931241668,0.9915,True,0.015093877911567688,normal,0.7717375905282928,0.40830895488885527,0.812174932266369,1622.6806640625,True,genuine
s004,7,ACCESS_GRANTED,0.9993038637362807,0.9915,True,0.015752537176012993,normal,0.6030239162215978,0.36324060098843103,0.7791132403187371,1487.6477718353271,True,genuine
s004,8,REJECT_SESSION,0.991499372860769,0.9915,False,0.016103066504001617,normal,0.5765237426069182,0.2503557068568105,0.7454691722933078,1837.3215198516846,True,genuine
s005,5,ACCESS_GRANTED,0.9999933000644576,0.99999,True,0.014436881057918072,normal,0.8427216608745213,0.4350444374141469,0.7841920650284444,1059.004783630371,True,genuine
s005,6,ACCESS_GRANTED,0.9999995640092207,0.99999,True,0.01602199114859104,normal,0.921790603167947,0.5177053546505138,0.7893993624294319,930.8104515075684,True,genuine
s005,7,REJECT_SESSION,0.9999896433226864,0.99999,False,0.015860728919506073,normal,0.8635740452866715,0.3804995061753914,0.7951105985048467,1792.7937507629395,True,genuine
s005,8,ACCESS_GRANTED,0.9999990117265308,0.99999,True,0.01566959172487259,normal,0.8269438920566674,0.5674511383727651,0.8227304204626623,1805.1016330718994,True,genuine
