probe_subject,claimed_subject,session,llr,fidelity,bhattacharyya
s002,s002,5,0.7511308455393199,0.21185091766431635,0.7323845558229506
s002,s002,6,0.7235757146777866,0.25265010750250855,0.7187880058052725
s002,s002,7,0.7057672102298516,0.3306205562955907,0.743361518923234
s002,s002,8,0.2949096672262107,0.17549817208922214,0.7616175974856749
s003,s003,5,0.8122930305451307,0.39937574560923017,0.7962592879803144
s003,s003,6,0.8263118140753817,0.3438937572082483,0.7342121868841731
s003,s003,7,0.6423007953050829,0.3641499527106084,0.8200823632310367
s003,s003,8,0.5771657686315939,0.2678783381216384,0.7386994779101269
s004,s004,5,0.7327384804628398,0.5002302965355631,0.7724270674319513
s004,s004,6,0.7717375905282928,0.40830895488885527,0.812174932266369
s004,s004,7,0.6030239162215978,0.36324060098843103,0.7791132403187371
s004,s004,8,0.5765237426069182,0.2503557068568105,0.7454691722933078
s005,s005,5,0.8427216608745213,0.4350444374141469,0.7841920650284444
s005,s005,6,0.921790603167947,0.5177053546505138,0.7893993624294319
s005,s005,7,0.8635740452866715,0.3804995061753914,0.7951105985048467
s005,s005,8,0.8269438920566674,0.5674511383727651,0.8227304204626623
s007,s007,5,0.4868951823540378,0.15763047802038999,0.6896875451504381
s007,s007,6,0.5081618917279159,0.010493571292387838,0.6894693901656456
s007,s007,7,0.48770566301066237,0.2524105608826482,0.708342108225866
s007,s007,8,0.5619284321622819,0.27716504612412435,0.7001536224538676
s008,s008,5,0.8119216782258909,0.48817225931566416,0.8574617959916494
s008,s008,6,0.8135882852709326,0.33590844813352877,0.7767306563662332
s008,s008,7,0.7314396461894032,0.47115817277480904,0.7986469792686576
s008,s008,8,0.8424292786687595,0.20048026483081596,0.6759967812909994
s010,s010,5,0.7128557928196236,0.5565272820024565,0.8745347599934062
s010,s010,6,0.8630909426471486,0.4525005557014675,0.8302989050558796
s010,s010,7,0.866858208316794,0.43508295652403306,0.8174097009330438
s010,s010,8,0.5128791092289787,0.39621867743614353,0.749771337337303
s011,s011,5,0.6444893218902605,0.6334203710869178,0.871165550734665
s011,s011,6,0.7125290301142091,0.5812197347999346,0.851371978533978
s011,s011,7,0.44793196403589675,0.5224888925182661,0.8456794912114335
s011,s011,8,0.7209677008691273,0.14092697577288732,0.646849429181919
s012,s012,5,0.802046044187121,0.5902315621781264,0.8982169651247889
s012,s012,6,0.8914222208062461,0.6603937232245685,0.8735031607419946
s012,s012,7,0.8542335620299469,0.6738415026326107,0.8929789536529689
s012,s012,8,0.8080761257357575,0.34599579760856447,0.7692651718684308
s013,s013,5,0.761732742253821,0.5256656180402269,0.7801111373704079
s013,s013,6,0.7544175152415614,0.42591029299229993,0.7431689030850823
s013,s013,7,0.4706303256497907,0.5000769342048446,0.8284059463377154
s013,s013,8,0.4062313088986366,0.4542780483000322,0.8114887767397988
s015,s015,5,0.8759260662721361,0.33841661107734733,0.7283678858782191
s015,s015,6,0.7585110038492471,0.45672689395748944,0.757159338060366
s015,s015,7,0.5987111547806079,0.22345474238499344,0.6826908693601538
s015,s015,8,0.7690139253320732,0.5478246056187157,0.8361995692645525
s016,s016,5,0.8138325300113312,0.7943886776331789,0.9276442549692137
s016,s016,6,0.5841945121547973,0.7157104116536126,0.914438999859057
s016,s016,7,0.4954886917689836,0.2728800431491417,0.7246670586635939
s016,s016,8,0.5271636769942251,0.18900421684358773,0.6173694165083223
s017,s017,5,0.8667129132091179,0.46432013007396794,0.842891844892622
s017,s017,6,0.6782509746843076,0.3057395057880254,0.7500420723924255
s017,s017,7,0.5799255576677755,0.43655431870861244,0.7775598710127414
s017,s017,8,0.524115208230691,0.3629184122608982,0.7691332356115145
s018,s018,5,0.8284648087428607,0.5836806729496928,0.8287249654970484
s018,s018,6,0.8567868412083971,0.6837794498734034,0.8602809372047486
s018,s018,7,0.8013392206444944,0.7571681902318256,0.9157997339676113
s018,s018,8,0.591727344099724,0.6346260596657961,0.8662496950895517
s019,s019,5,0.8703343386469617,0.7471617741291143,0.9182056756203698
s019,s019,6,0.859269371819063,0.6648114049620866,0.9066170175258269
s019,s019,7,0.5807029907303876,0.5124153525325329,0.866544102735768
s019,s019,8,0.7503787495075387,0.49537523879924233,0.7920766579525451
s020,s020,5,0.671393725927472,0.4885050706706171,0.8125697056059976
s020,s020,6,0.8259744070263698,0.6443961671666639,0.8619155083166005
s020,s020,7,0.41913836756155437,0.37696733978937647,0.8079292911274087
s020,s020,8,0.5626637232299454,0.6627613845672268,0.8965649910795996
s021,s021,5,0.7792918101741162,0.48491564979949076,0.7887247148034979
s021,s021,6,0.45901976424236374,0.21805255276231306,0.6724237629894713
s021,s021,7,0.6302974341568063,0.40872097009936736,0.8083560891639087
s021,s021,8,0.6410372065441613,0.23095556797721778,0.6485950046729585
s022,s022,5,0.7546921074376157,0.4870792184609026,0.8024941004879408
s022,s022,6,0.6753444024809425,0.6654836805048038,0.8839359185714639
s022,s022,7,0.7528424631710532,0.6245799033999515,0.8777540132646875
s022,s022,8,0.7031534539319645,0.6950456583838664,0.8895827482426879
s024,s024,5,0.6407552600233062,0.3432298765580011,0.8160893468951161
s024,s024,6,0.8951370072855261,0.5441388197544323,0.8427074789585989
s024,s024,7,0.7891231026186687,0.42530750644631704,0.7765441251344735
s024,s024,8,0.9022964125438249,0.5300374587663784,0.8003818682312419
s025,s025,5,0.7804789704405402,0.44926195179112927,0.7765037292871703
s025,s025,6,0.7955805945464414,0.7044528688331644,0.8696332186888763
s025,s025,7,0.8741490103090601,0.7569419158668472,0.8880283646563885
s025,s025,8,0.6967184916772325,0.7156290701825179,0.9274396154449822
s026,s026,5,0.8839383372933726,0.2912636299324452,0.6995527986885457
s026,s026,6,0.8095951392686725,0.4122527166613483,0.7278038803696556
s026,s026,7,0.9004894964943265,0.6169206665122783,0.8610938519466477
s026,s026,8,0.9031307986138337,0.3362787264653406,0.7891112508386199
s027,s027,5,0.7603766144493215,0.4418095461173851,0.7887893513385745
s027,s027,6,0.8829848057964105,0.23931651451179228,0.7537231523329455
s027,s027,7,0.725499507446895,0.18067862489271944,0.7496044387667159
s027,s027,8,0.7174707580569842,0.10281118741135865,0.802098329444349
s028,s028,5,0.8165727719470859,0.5205108622443114,0.7902842351660654
s028,s028,6,0.6734742307305246,0.33404798581329503,0.7259008891655474
s028,s028,7,0.5365325164641426,0.45102022589133406,0.8278025753783224
s028,s028,8,0.830324143279766,0.7116148327298304,0.8857810991526709
s029,s029,5,0.816692411822686,0.3822613347638575,0.7568889582658983
s029,s029,6,0.8179855787171728,0.34248188853899886,0.7422938679463356
s029,s029,7,0.8614684690708752,0.24917319613176236,0.7760942508806902
s029,s029,8,0.8661856478105364,0.22993102600165874,0.7451677381760892
s030,s030,5,0.7107967600284506,0.5957352873087847,0.8513310240782289
s030,s030,6,0.6090851067459252,0.6350169162544336,0.8810561404307958
s030,s030,7,0.598365756719154,0.48423016304467276,0.80574245929531
